Класс	Проект по инвалидам	Проект по водным ресурсам	Проект по усыновлению	Закон о врачах	Проект по Сальвадору	Закон о религиях	Антиспутниковый проект	Проект помощи Никарагуа	Проект по ракетам	Закон об иммигрантах	Проект по альтернативным источникам топлива	Закон об образовании	Проект по фондам	Проект по преступности	Проект по таможенным пошлинам	Проект по экспорту
демократ	да	да	да	нет	нет	да	да	да	да	да	да	нет	да	да	да	да
демократ	нет	да	да	нет	нет	да	да	да	нет	да	да	нет	да	да	нет	воздержался
республиканец	нет	да	нет	да	да	да	воздержался	воздержался	нет	да	нет	да	воздержался	воздержался	воздержался	воздержался
республиканец	нет	нет	да	да	да	да	нет	нет	нет	да	нет	да	да	да	да	да
демократ	да	да	да	нет	нет	да	да	да	да	да	нет	нет	воздержался	нет	да	воздержался
демократ	нет	да	нет	нет	нет	нет	да	да	да	да	да	нет	нет	нет	да	да
демократ	нет	да	да	нет	нет	да	да	да	да	да	нет	нет	да	да	да	да
республиканец	нет	нет	нет	да	да	нет	да	да	да	да	нет	да	да	да	нет	да
демократ	нет	нет	воздержался	нет	нет	да	да	да	да	нет	нет	нет	нет	нет	да	да
республиканец	нет	нет	нет	да	да	да	да	нет	нет	да	нет	да	да	да	нет	да
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	воздержался
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет
демократ	да	нет	да	нет	нет	да	да	да	да	нет	нет	нет	нет	да	нет	воздержался
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет
демократ	да	нет	нет	нет	нет	да	да	да	да	да	нет	нет	нет	да	да	да
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	да	нет
демократ	нет	нет	да	нет	нет	да	да	да	да	да	нет	нет	да	нет	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да
республиканец	нет	да	да	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да
республиканец	нет	да	нет	да	да	да	да	да	нет	нет	да	да	да	да	да	да
республиканец	нет	да	да	да	да	да	да	воздержался	нет	нет	нет	нет	воздержался	воздержался	да	воздержался
демократ	нет	нет	нет	нет	нет	да	нет	да	да	нет	да	да	да	да	да	нет
демократ	да	нет	нет	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да
демократ	нет	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался
демократ	да	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался
демократ	нет	да	да	нет	нет	да	нет	да	да	да	нет	нет	да	да	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	да	нет	нет	да	нет	нет	да
демократ	да	да	да	нет	воздержался	да	нет	воздержался	нет	нет	да	нет	да	да	нет	воздержался
демократ	да	да	да	нет	да	да	нет	да	воздержался	да	нет	нет	да	да	нет	воздержался
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	да	да	да	да	нет	нет
демократ	нет	да	нет	нет	да	да	нет	нет	воздержался	нет	нет	да	да	да	нет	да
демократ	да	да	нет	да	нет	нет	да	да	да	нет	да	нет	нет	да	нет	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	нет	да
демократ	да	воздержался	да	нет	нет	да	да	да	да	да	нет	нет	нет	нет	да	воздержался
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет
демократ	да	воздержался	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался
демократ	да	нет	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	воздержался
демократ	нет	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да
демократ	нет	да	да	нет	нет	да	да	да	воздержался	нет	да	да	нет	нет	да	да
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	да	да	да	да	да	нет	воздержался
демократ	нет	нет	да	нет	нет	да	да	да	нет	нет	да	нет	нет	да	воздержался	да
демократ	да	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да
демократ	да	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	да	да	да
республиканец	да	нет	нет	да	да	да	нет	нет	нет	нет	да	да	да	да	нет	нет
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	да
демократ	нет	воздержался	да	воздержался	нет	да	да	да	да	да	да	нет	воздержался	воздержался	да	да
демократ	нет	да	да	нет	да	воздержался	да	нет	нет	да	да	нет	да	нет	да	да
республиканец	нет	нет	нет	да	да	нет	да	нет	да	да	нет	нет	нет	да	нет	да
демократ	нет	нет	да	нет	нет	нет	да	да	да	да	да	нет	нет	нет	да	да
республиканец	нет	нет	нет	да	да	да	да	нет	нет	да	нет	да	нет	да	да	да
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да
республиканец	да	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет
демократ	да	нет	да	нет	нет	нет	да	да	да	да	нет	да	нет	нет	да	воздержался
республиканец	нет	да	да	да	да	да	да	да	да	нет	нет	да	да	да	нет	да
демократ	нет	да	нет	нет	нет	да	да	нет	да	нет	да	нет	нет	нет	да	да
республиканец	нет	нет	да	да	да	да	да	да	да	да	нет	да	да	да	да	да
демократ	нет	да	нет	да	нет	да	да	да	да	нет	да	нет	да	нет	да	воздержался
республиканец	нет	нет	да	да	да	да	да	нет	нет	да	да	да	да	да	нет	да
демократ	нет	да	да	нет	нет	да	да	да	да	да	нет	воздержался	нет	нет	да	да
республиканец	да	нет	да	да	нет	нет	нет	да	да	да	нет	нет	нет	да	да	да
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет
демократ	да	да	да	нет	нет	да	да	да	да	да	да	да	да	да	нет	воздержался
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	да	воздержался	да	да	да	нет	да
демократ	да	нет	да	нет	нет	да	да	да	да	да	нет	нет	да	нет	нет	да
демократ	да	нет	да	нет	да	да	да	нет	да	да	нет	нет	да	да	нет	воздержался
демократ	да	да	да	нет	нет	да	да	да	да	да	да	да	да	нет	нет	да
республиканец	да	да	нет	да	да	да	нет	нет	нет	да	да	нет	да	нет	нет	нет
республиканец	да	да	нет	да	да	да	нет	нет	нет	нет	да	нет	да	да	нет	да
демократ	нет	да	нет	нет	да	да	нет	нет	нет	да	да	нет	да	да	нет	нет
демократ	да	нет	да	нет	нет	нет	да	да	нет	да	да	нет	нет	нет	нет	воздержался
демократ	да	да	да	нет	да	да	да	да	нет	да	да	нет	нет	нет	да	воздержался
демократ	нет	да	да	нет	нет	да	да	да	нет	да	нет	нет	нет	нет	да	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	нет	да	да	нет	да
демократ	да	да	да	нет	воздержался	да	да	да	нет	да	воздержался	воздержался	нет	нет	да	да
демократ	да	да	да	нет	воздержался	нет	да	да	да	да	нет	нет	нет	нет	да	воздержался
демократ	нет	да	да	да	да	да	нет	нет	нет	нет	да	да	воздержался	да	нет	нет
демократ	нет	да	да	воздержался	да	да	нет	да	нет	да	воздержался	нет	да	да	воздержался	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да
демократ	нет	да	нет	да	да	да	нет	нет	нет	нет	да	да	нет	да	нет	нет
демократ	да	воздержался	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	да
республиканец	нет	да	нет	да	да	да	воздержался	воздержался	нет	нет	воздержался	воздержался	да	воздержался	воздержался	воздержался
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да
демократ	да	да	да	нет	нет	да	воздержался	да	да	нет	да	нет	да	нет	да	да
демократ	да	да	да	нет	да	да	да	да	да	да	да	нет	да	да	нет	воздержался
демократ	да	да	нет	да	да	да	нет	нет	нет	нет	да	нет	да	да	нет	воздержался
демократ	да	да	да	нет	да	да	нет	да	да	да	да	нет	нет	нет	нет	да
демократ	да	да	да	да	да	да	нет	нет	нет	нет	да	да	да	да	нет	да
демократ	да	да	нет	нет	да	да	нет	нет	нет	нет	да	да	да	да	да	нет
демократ	нет	воздержался	да	нет	да	да	нет	да	нет	нет	да	нет	нет	нет	нет	воздержался
демократ	да	да	да	нет	да	да	нет	да	да	нет	да	нет	нет	да	нет	воздержался
демократ	нет	да	да	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	воздержался
демократ	да	нет	да	нет	нет	нет	да	да	да	воздержался	да	нет	нет	нет	да	воздержался
демократ	воздержался	воздержался	нет	нет	воздержался	да	воздержался	нет	нет	нет	да	да	нет	да	нет	воздержался
демократ	да	да	нет	нет	нет	нет	нет	да	да	нет	да	нет	нет	нет	да	нет
республиканец	да	да	нет	да	да	да	нет	нет	нет	нет	да	да	да	да	нет	да
республиканец	воздержался	воздержался	воздержался	воздержался	нет	да	нет	да	да	нет	нет	да	да	нет	нет	воздержался
демократ	да	да	воздержался	воздержался	воздержался	да	нет	нет	нет	нет	да	нет	да	нет	нет	да
демократ	да	да	да	воздержался	нет	нет	нет	да	нет	нет	да	воздержался	нет	нет	да	да
демократ	да	да	да	нет	да	да	нет	да	нет	нет	да	нет	да	нет	да	да
демократ	да	да	нет	нет	да	воздержался	нет	нет	нет	нет	да	нет	да	да	нет	да
демократ	нет	да	да	нет	да	да	нет	да	нет	нет	нет	нет	нет	нет	нет	да
республиканец	нет	да	нет	да	воздержался	да	нет	нет	нет	да	нет	да	да	да	нет	нет
республиканец	нет	да	нет	да	да	да	нет	воздержался	нет	нет	воздержался	воздержался	воздержался	да	нет	воздержался
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	да	да	да	да	нет	нет
республиканец	воздержался	нет	да	да	нет	да	да	да	да	да	нет	да	нет	да	нет	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	воздержался	да	нет	нет
республиканец	да	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да
демократ	да	нет	да	нет	да	да	нет	нет	да	да	нет	нет	да	да	нет	да
демократ	нет	нет	нет	да	да	да	нет	нет	нет	нет	да	да	да	да	нет	нет
демократ	да	нет	да	нет	нет	да	да	да	да	нет	нет	да	воздержался	да	да	да
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	нет	да	да	да	да	нет	да
демократ	да	нет	да	нет	нет	да	да	да	да	да	да	нет	нет	нет	нет	да
республиканец	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да
республиканец	да	да	да	да	да	да	да	да	нет	да	воздержался	воздержался	воздержался	да	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	нет	да
демократ	нет	да	да	нет	нет	да	да	да	воздержался	да	нет	нет	нет	нет	нет	да
республиканец	да	да	нет	да	да	да	нет	нет	нет	да	нет	нет	да	да	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	да	да	нет	да	нет	нет	да
демократ	да	да	да	нет	нет	нет	да	да	нет	да	нет	нет	нет	нет	нет	да
демократ	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	нет	да
республиканец	да	да	да	да	да	да	да	да	нет	да	нет	нет	да	да	нет	да
демократ	нет	да	да	нет	да	да	да	да	нет	нет	да	нет	да	нет	да	да
демократ	нет	нет	да	нет	нет	да	да	да	да	нет	да	нет	нет	нет	да	да
демократ	нет	да	да	нет	нет	да	да	да	да	нет	да	нет	нет	да	да	да
демократ	нет	да	да	нет	нет	воздержался	да	да	да	да	да	нет	воздержался	да	да	да
демократ	нет	нет	да	нет	нет	нет	да	да	нет	да	да	нет	нет	нет	да	воздержался
демократ	да	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да
республиканец	нет	нет	нет	да	да	да	да	да	нет	да	нет	да	да	да	нет	да
демократ	воздержался	воздержался	воздержался	нет	нет	нет	да	да	да	да	нет	нет	да	нет	да	да
демократ	да	нет	да	нет	воздержался	нет	да	да	да	да	нет	да	нет	воздержался	да	да
республиканец	нет	нет	да	да	да	да	нет	нет	да	да	нет	да	да	да	нет	да
демократ	нет	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	нет	да
республиканец	нет	воздержался	нет	да	да	да	нет	нет	нет	нет	да	да	да	да	нет	да
республиканец	нет	нет	нет	да	да	да	воздержался	воздержался	воздержался	воздержался	нет	да	да	да	нет	да
республиканец	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	воздержался	нет
